,SMIRKS,value
0,[#6X4:1]-[#6X3$(*=[#6]):2],0.0656904571194859
1,[#6X4:1]-[#1:2],0.1463724538249679
2,[#6X3$(*=[#6]):1]-[#1:2],0.0231678224282496
3,[#6X3$(*=[#6]):1]=[#6X3$(*=[#6]):2],-0.0185001238035945
4,[#6X3$(*=[#6]):1]-[#6X3$(*=[#6]):2],0.0073717803272873
5,[#6X4:1]-[#6X4:2],0.0018729120647978
6,"[#6X4:1]-[#8X1,#8X2:2]",0.1066815099133643
7,"[#6X3$(*=[#6]):1]-[#6X3$(*=[#8,#16]):2]",0.0631943191873891
8,"[#6X3$(*=[#8,#16]):1]-[#8X1,#8X2:2]",-0.1336761892216939
9,"[#6X3$(*=[#8,#16]):1]=[#8X1$(*=[#6X3]-[#8X2]):2]",0.0
10,"[#6X3$(*=[#8,#16]):1]=[#8X1,#8X2:2]",-0.0480586124989119
11,"[#6X4:1]-[#6X3$(*=[#8,#16]):2]",0.0590832975489724
12,"[#6X3$(*=[#8,#16]):1]-[#6X3$(*=[#8,#16]):2]",-0.011249121977043
13,"[#8X1,#8X2:1]-[#1:2]",-0.123147332022069
14,"[#6a:1]-[#8X1,#8X2:2]",-0.0318513130479334
15,[#6a:1]-[#1:2],0.0475339297826169
16,[#6a:1]:[#6a:2],-0.0164537071484405
17,[#6X4:1]-[#6a:2],0.0590692743826322
18,"[#6X3$(*=[#8,#16]):1]-[#6a:2]",-0.0226418415943026
19,"[#6X3$(*=[#8,#16]):1]-[#1:2]",-0.002056070862349
20,"[#6X3:1](~[#8X1,#16X1])(~[#8X1:2])",-1.873501354054952e-16
21,"[#6X4:1]-[#7X4,#7X3,#7X2-1:2]",0.2005241100622499
22,"[#7X4,#7X3,#7X2-1:1]-[#1:2]",-0.1059273827766952
23,"[#6X3$(*=[#8,#16]):1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",0.0717686343920195
24,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#1:2]",2.775557561562892e-17
25,"[#6X3$(*=[#8,#16]):1]=[#8X1$(*=[#6r]@[#7r,#8r]):2]",-0.066454146528848
26,"[#6a:1]:[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",-0.0046509254339097
27,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#1:2]",4.163336342344337e-17
28,[#6a:1]-[#6a:2],-0.120541199362035
29,"[#6a$(*~[#7aX2,#8aX2]):1]-[#1:2]",1.6479873021779667e-17
30,"[#6a$(*~[#7aX2,#8aX2]):1]:[#7X2+0,#7X2-1ar5:2]",0.1486862568078997
31,"[#6a:1]:[#6a$(*~[#7aX2,#8aX2]):2]",0.0293160205837703
32,"[#6a$(*~[#7aX2,#8aX2]):1]:[#6a$(*~[#7aX2,#8aX2]):2]",0.0962656950676067
33,"[#6a:1]-[#7X4,#7X3,#7X2-1:2]",0.0493290231851232
34,"[#6X4:1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",0.2034234945977214
35,"[#6X4:1]-[#6a$(*~[#7aX2,#8aX2]):2]",1.1102230246251563e-16
36,"[#7X4,#7X3,#7X2-1:1]-[#8X1,#8X2:2]",-0.0639898819721195
37,[#7X3+1:1]-[#8X1-1:2],-6.938893903907228e-18
38,"[$([#7X3](-[#8X1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]~[#8X1:2]",-0.1316371541356255
39,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#8X1,#8X2:2]",0.0
40,"[#6a:1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",0.0
